"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,90.848190,49.551468,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,73.891860,11.879193,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,82.419778,15.869758,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,82.553247,28.049793,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,90.512265,24.168905,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,99.277099,47.317505,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,91.384277,18.429259,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,94.270653,48.621604,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,90.729076,11.257792,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,81.856676,58.094987,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,153.191900,61.666751,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,213.699531,262.592469,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,169.636599,63.838501,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,166.033745,70.730819,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,221.097154,116.263995,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,237.889455,169.919235,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,220.797535,84.807819,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,328.988936,362.290104,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,452.367597,451.506155,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,17828.272799,875.483140,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,32738.943449,1046.757790,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,47937.692822,1678.273531,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,63258.166978,2720.943014,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,78820.129531,4075.053292,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,98177.510036,2763.455655,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,110362.294992,4448.930533,"ns/op",70000
