Benchmark;Size;Score (ns/op)
"benchmarkMerge";20000;431.2265377162446
"benchmarkMerge";30000;523.3251232316917
"benchmarkMerge";40000;630.1025385088839
"benchmarkMerge";50000;509.36724122984805
"benchmarkMerge";60000;465.92742288215436
"benchmarkMerge";70000;690.9192075472754
"benchmarkMerge";80000;581.4680075223682
"benchmarkMerge";90000;1117.0934368383737
"benchmarkMerge";100000;1468.2284424755662
"benchmarkPut";10000;449624.3995915214
"benchmarkPut";20000;945346.1517938864
"benchmarkPut";30000;1325982.1016641771
"benchmarkPut";40000;1942858.027795766
"benchmarkPut";50000;2731335.5314907455
"benchmarkPut";60000;2851426.00691107
"benchmarkPut";70000;4056566.5348060685
"benchmarkPut";80000;4222973.2252504155
"benchmarkPut";90000;7229911.609990659
"benchmarkPut";100000;6898117.088991756
"benchmarkPutAll";10000;104613.66439967186
"benchmarkPutAll";20000;208623.82747025325
"benchmarkPutAll";30000;307411.58723100985
"benchmarkPutAll";40000;444420.07765989454
"benchmarkPutAll";50000;572673.006814772
"benchmarkPutAll";60000;723456.6520695479
"benchmarkPutAll";70000;796798.8840226694
"benchmarkPutAll";80000;945758.9084872268
"benchmarkPutAll";90000;1126049.1591243232
"benchmarkPutAll";100000;1205045.8193051128
"benchmarkPutIfAbsent";10000;477653.94632172637
"benchmarkPutIfAbsent";20000;1042278.0099987644
"benchmarkPutIfAbsent";30000;1460856.773788509
"benchmarkPutIfAbsent";40000;2769949.4148245687
"benchmarkPutIfAbsent";50000;2547123.3741498333
"benchmarkPutIfAbsent";60000;3156329.686697955
"benchmarkPutIfAbsent";70000;3990080.266241248
"benchmarkPutIfAbsent";80000;5387158.16615759
"benchmarkPutIfAbsent";90000;5038130.294914941
"benchmarkPutIfAbsent";100000;5378253.385147513
"benchmarkRemove";10000;96.61206074703222
"benchmarkRemove";20000;180.45643779516638
"benchmarkRemove";30000;207.48780194788884
"benchmarkRemove";40000;202.28214699775566
"benchmarkRemove";50000;207.6605840993742
"benchmarkRemove";60000;255.78332935483124
"benchmarkRemove";70000;333.80763098003746
"benchmarkRemove";80000;325.206118987981
"benchmarkRemove";90000;444.33976861210056
"benchmarkRemove";100000;630.2475104249874
"benchmarkRemoveWithValue";10000;111.82286064190356
"benchmarkRemoveWithValue";20000;265.2071244713746
"benchmarkRemoveWithValue";30000;308.89998306428106
"benchmarkRemoveWithValue";40000;320.74917497708054
"benchmarkRemoveWithValue";50000;312.86488557767126
"benchmarkRemoveWithValue";60000;392.83782112221996
"benchmarkRemoveWithValue";70000;502.7758327736571
"benchmarkRemoveWithValue";80000;540.9309790636994
"benchmarkRemoveWithValue";90000;584.8783334358592
"benchmarkRemoveWithValue";100000;647.3200137316185
"benchmarkReplace";10000;91.97377410437429
"benchmarkReplace";20000;267.80912235783387
"benchmarkReplace";30000;307.32118179998463
"benchmarkReplace";40000;322.0551296291352
"benchmarkReplace";50000;301.0148940251798
"benchmarkReplace";60000;374.1386867316222
"benchmarkReplace";70000;457.4176210434673
"benchmarkReplace";80000;485.69073184984256
"benchmarkReplace";90000;598.2189621410442
"benchmarkReplace";100000;662.6378204412032
"benchmarkReplaceAll";10000;76798.2657510442
"benchmarkReplaceAll";20000;168005.63151842676
"benchmarkReplaceAll";30000;261773.88137539322
"benchmarkReplaceAll";40000;366208.68291743303
"benchmarkReplaceAll";50000;479969.01427811076
"benchmarkReplaceAll";60000;562210.8469142221
"benchmarkReplaceAll";70000;696357.9626665192
"benchmarkReplaceAll";80000;788323.6562497615
"benchmarkReplaceAll";90000;985127.6013287647
"benchmarkReplaceAll";100000;930130.014468868
"benchmarkReplaceWithOldNew";10000;141.02521902674047
"benchmarkReplaceWithOldNew";20000;313.0321034457469
"benchmarkReplaceWithOldNew";30000;356.7678620349168
"benchmarkReplaceWithOldNew";40000;432.5285395224736
"benchmarkReplaceWithOldNew";50000;463.38425609715785
"benchmarkReplaceWithOldNew";60000;485.79566630763395
"benchmarkReplaceWithOldNew";70000;604.9477399605727
"benchmarkReplaceWithOldNew";80000;640.1621985864307
"benchmarkReplaceWithOldNew";90000;728.9251838487128
"benchmarkReplaceWithOldNew";100000;845.5418981311552
"benchmarkToString";10000;192663.86124367622
"benchmarkToString";20000;425586.1567056152
"benchmarkToString";30000;667513.0676347631
"benchmarkToString";40000;879270.3044187352
"benchmarkToString";50000;1189815.7312651132
"benchmarkToString";60000;1382043.221504429
"benchmarkToString";70000;1609165.7530351956
"benchmarkToString";80000;1848156.2056358634
"benchmarkToString";90000;2080761.3688341482
"benchmarkToString";100000;2391196.303629121
"benchmarkValues";10000;41.57405760572962
"benchmarkValues";20000;66.45628196282101
"benchmarkValues";30000;66.62719393281729
"benchmarkValues";40000;66.57205244666636
"benchmarkValues";50000;74.5342873683396
"benchmarkValues";60000;76.8354222466226
"benchmarkValues";70000;81.27933240897346
"benchmarkValues";80000;102.44669488063704
"benchmarkValues";90000;86.54337081439665
"benchmarkValues";100000;127.3240981863741
